,ep_reward,steps,avg_reward
485,242.37717756272434,250,185.75143689045416
486,261.8729337266442,306,189.09999427491158
487,270.5825483858997,180,193.4992221268567
488,312.3107525394212,265,197.07401835172368
489,273.7643557093873,164,200.4891776910724
490,267.20256963278246,153,203.64406819409308
491,269.3808279662858,196,204.0976920700297
492,267.4046592986306,184,207.49695551480247
493,249.1018823354361,167,207.6804047787929
494,36.42381073396942,105,205.57544416562698
495,263.63860264667346,219,205.42239988173648
496,258.2634289086084,183,208.55751410377448
497,235.6173927140844,314,208.14278879437308
498,303.92737953141113,226,208.8416756365238
499,270.3031580866783,215,209.99190373827298
500,250.3542930786219,291,209.69507875293056
501,259.71560837431446,177,212.72318215048983
502,289.52995712796996,183,213.38847524070718
503,260.1571353668877,197,216.7034270760267
504,242.59237131088213,170,219.68468545052184
505,277.74691370786707,197,220.54295886889696
506,273.64939333085067,188,220.619826412111
507,30.858554293691043,102,218.8062474459295
508,253.8196973346919,164,218.48007855242767
509,301.8696345709341,169,219.17002861567798
510,286.7871517340741,176,219.12088903311397
511,301.312917540571,236,219.3391148027955
512,270.07235827683337,160,219.99134095928486
513,293.70211324345473,226,220.78147249207635
514,265.4689371474047,188,220.85484085946558
515,274.6438026467189,161,221.3630269686607
516,265.5501889050621,182,221.0425766980666
517,284.4918498632319,402,224.33089868830746
518,305.1262619459078,248,224.96231569676712
519,285.4597258020806,206,224.731187711067
520,283.10998483539083,212,225.55637448162773
521,279.15609278692546,187,228.87145754014327
522,311.03329041429413,203,229.01370037374426
523,301.30862850735605,206,229.65489742619516
524,281.31898660302255,225,230.63900862271387
525,243.0032060983901,170,230.31285822222577
526,250.19249366020176,568,230.3882141716354
527,282.1381319232554,520,230.5810195849994
528,273.6440286812333,197,230.51504820399848
529,260.38675047460964,164,233.7187601785751
530,278.3022478430422,200,234.11617028579207
531,250.1991548337682,216,236.81285169095167
532,274.8757699044437,175,237.08660685358169
533,292.17284796959535,199,237.61016543047336
534,240.47960618864704,168,237.84265043992983
535,283.842006662553,198,238.07371964438684
536,290.47578373740816,150,238.50644002179146
537,264.9906770047977,236,238.3293138026532
538,273.31264099326575,154,238.56018190848198
539,290.01695455694596,154,239.77898157491055
540,259.5016591428206,166,239.80250647548746
541,252.16387091290656,706,239.81887651659247
542,272.1878459229259,165,239.6522376033785
543,282.94879187338444,193,240.40949101707412
544,270.7263211921555,191,243.64552964208337
545,268.47959354474244,183,243.53049280016796
546,270.18721405028145,181,246.5976290152782
547,260.2651206015353,335,246.33571906490462
548,276.36652849425866,192,246.65356273318875
549,274.21347078697545,201,246.73884598660538
550,291.71504092716725,236,247.2914713952437
551,259.6808083751081,188,248.0940611146412
552,8.610103694215821,999,245.46878533478355
553,261.58728201821333,194,245.21239118688288
554,266.7812897766772,200,244.7559698245588
555,261.0708675071286,164,248.3784005802106
556,275.42242940349416,172,248.2697888290135
557,262.8215761241685,917,247.93514544893307
558,251.59249848541185,184,248.15161193427593
559,271.9667370626301,369,251.62738894433093
560,82.18496817475234,999,249.42900789839325
561,283.409304239028,209,249.2833847895217
562,-33.871266237565266,999,246.20238782317927
563,30.716194241051454,999,243.88757297988732
564,-13.322653942274759,999,240.92735742121187
565,291.852633483202,264,241.47937591221526
566,-45.32906501937245,999,238.1144500490881
567,-17.706883377828536,999,235.29412265592742
568,216.3502095887959,539,234.54422949736335
569,247.0526928800976,407,238.050951072475
570,38.20520212759271,999,235.9291830240123
571,257.2046753813321,190,236.01109384044986
572,261.43140845065875,204,236.05179901396158
573,266.18613369135016,241,236.39829635361798
574,-17.147310507246804,999,233.63405513091436
575,257.25161585702074,250,233.4473876572069
576,267.6458637955185,384,236.73789686170213
577,-27.45981159093558,999,233.89648277604502
578,8.473532205565188,999,233.29612584450152
579,4.885183374923535,999,230.50253639379739
580,269.16992419306376,219,230.26800506828474
581,283.0088516148895,213,233.6555786662793
582,249.16406836771742,200,233.70915718095665
583,252.95138898812002,218,233.35314776512467
584,259.8504088762131,199,233.29485947811702
585,280.2505161078941,485,233.67359286356879
586,-27.46940760967281,999,230.78016945020562
587,20.861568014219745,999,228.28295964648882
588,116.75403875837064,999,226.32739250867832
589,-45.16971916858268,999,223.13805175989862
590,-5.167301147619508,999,220.41435305209458
591,130.8603685580605,967,219.02914845801232
592,266.2844451097392,307,219.01794631612339
593,283.8454343305384,260,219.36538183607442
594,265.1461341419632,597,221.65260507015435
595,242.8472995322976,576,221.44469203901062
596,241.32851858617988,546,221.27534293578628
597,140.14453104536818,999,220.32061431909915
598,272.7991210069134,364,220.0093317338541
599,254.67863648243176,434,219.85308651781168
600,294.7548220825286,347,220.29709180785073
601,252.74157841935565,617,220.22735150830115
602,120.95257404709847,999,218.54157767749248
603,247.08159938295512,465,218.41082231765319
604,273.1744045664303,638,218.7166426502086
605,224.6581976389141,562,218.1857554895191
606,268.4826826987591,293,218.1340883831982
607,248.6532825702377,478,220.31203566596366
608,275.7765622778254,440,220.53160431539493
609,258.7625443626119,498,220.10053341331175
610,264.1377252825513,448,219.87403914879656
611,269.4391768359076,823,219.5553017417499
612,272.9327352523811,559,219.58390551150535
613,235.13526510632647,315,218.9982370301341
614,266.81121759610943,678,219.01165983462116
615,261.1411258950459,585,218.87663306710442
616,275.6683964255148,189,218.97781514230894
617,256.4407351286417,365,218.69730399496305
618,257.173260992683,158,218.21777398543077
619,218.94299151054878,296,217.55260664251546
620,271.633689944389,150,217.43784369360546
621,253.23137869957682,478,217.178596552732
622,259.22839376488105,725,216.6605475862378
623,294.1629810747273,912,216.58909111191159
624,237.96817366273035,501,216.15558298250863
625,255.13069592489043,379,216.27685788077363
626,215.3111364017165,539,215.9280443081888
627,262.15657683607355,210,215.72822875731697
628,277.35028359671253,204,215.76529130647174
629,278.074609404101,845,215.94216989576668
630,242.28957199955272,717,215.5820431373318
631,233.3217076215261,341,215.41326866520936
632,263.9246245032659,284,215.3037572111976
633,-132.120458860138,901,211.0608241429002
634,240.98721977391,478,211.06590027875282
635,259.05204278556727,539,210.81800063998296
636,272.67855448724833,496,210.64002834748135
637,269.38566005242853,352,210.68397817795764
638,254.47250978243468,258,210.49557686584933
639,167.77972493902146,999,209.2732045696701
640,254.29725163047104,521,209.2211604945466
641,235.16321416419703,380,209.05115392705954
642,292.34940387358506,367,209.2527695065661
643,262.2538988172841,202,209.04582057600513
644,250.13065296919083,322,208.8398638937755
645,238.6574275986109,435,208.54164223431417
646,256.134342114388,353,208.40111351495523
647,247.49898799963816,202,208.2734521889362
648,253.45287774124193,184,208.0443156814061
649,275.0023578002058,303,208.0522045515384
650,242.81306497038958,250,207.56318479197068
651,263.98374086025393,369,207.6062141168221
652,-176.61294154720196,833,205.75398366440794
653,-120.32112017996103,573,201.93489964242616
654,217.65897911193036,700,201.44367653577874
655,240.91895893745286,450,201.24215745008195
656,256.05042444680464,456,201.04843740051507
657,186.30963477557935,791,200.28331798702914
658,240.6205403856624,255,200.17359840603166
659,-100.39289042066322,263,196.45000213119872
660,286.5236146460421,401,198.4933885959116
661,256.1140060092129,278,198.2204356136135
662,291.6438416642848,595,201.47558669263196
663,262.4220440004625,406,203.79264519022607
664,282.3834558484423,287,206.7497062881332
665,285.72195199001555,290,206.6883994732014
