,ep_reward,steps,avg_reward
357,-83.30083960177181,63,-48.251645570129476
358,-119.77193386920095,86,-47.39912653646936
359,-15.36773013927835,108,-46.54919673887019
360,-17.63773914926942,148,-47.4550988971795
361,49.489289158102935,90,-45.28415674775763
362,24.50662174393733,117,-45.98513719281223
363,-83.91183822414096,215,-47.121052435218274
364,-134.01395403073244,232,-49.07015852146999
365,58.90547512749445,500,-49.16728703471359
366,-178.53046893628223,399,-49.70517224990187
367,19.622770574423832,500,-48.27152711305952
368,105.55783336468063,500,-47.578187903148944
369,8.921185464525038,133,-47.44666347803176
370,15.265972846286541,500,-48.50954448093321
371,80.89752226650974,500,-48.76031236768544
372,80.76847876286652,500,-48.38366198974307
373,50.461496427242096,500,-48.55101183308042
374,76.09790629604662,500,-48.29290956544271
375,-179.5505352753004,96,-49.078676405527915
376,-286.9924213760811,312,-52.50594252068195
377,-231.51834226506338,115,-53.688843113226795
378,-246.93965551330984,107,-56.493067506805204
379,-213.8459262213341,102,-59.51010936335969
380,-188.4710519434683,165,-61.2248901339311
381,-271.61470170709305,327,-62.94573752619805
382,-235.7625224578294,173,-64.30658917374605
383,-361.7859961864542,136,-68.72383095839773
384,-273.33566572260406,123,-71.66824555543216
385,47.45129148285293,500,-70.2278944318328
386,-235.26964250126636,500,-71.59949864497037
387,85.6593075174714,500,-70.4643137379931
388,-161.23285203319983,313,-70.09563651914439
389,63.62176227244709,500,-67.59917943665033
390,99.2551506220401,500,-65.6470542144767
391,98.01247369836689,500,-65.25768990549963
392,258.225868921853,322,-63.391774031554036
393,100.29218689255094,500,-62.082827084713536
394,-211.220621702218,139,-62.8018956212259
395,101.24830825479896,500,-62.83033451408095
396,48.99595161485749,500,-62.29564641336612
397,102.88463447865135,500,-61.397503833622075
398,91.56183453722858,500,-60.46688519277056
399,69.99601200970035,500,-57.00096891997493
400,-155.94881152876545,500,-57.39496476440947
401,-83.30297543309008,500,-58.67992955248942
402,63.61099772757929,500,-58.04945007732879
403,152.8214927567978,500,-56.65968306943313
404,123.5207382121569,500,-55.32908348319639
405,72.22547327391361,500,-54.38574063167741
406,98.22430497701139,500,-50.176904159991224
407,284.7205614423613,344,-47.696658236274736
408,73.47516038948895,500,-47.03937746763784
409,-511.7044350636131,391,-52.69490928804459
410,-482.38086157231317,325,-57.424811406381565
411,-168.6294214483536,500,-58.48366981207059
412,28.290816902285798,500,-56.8893252005901
413,45.974592623328974,500,-55.27274309115265
414,-30.84461043272746,500,-53.777531406159326
415,78.61286415828195,500,-51.700546486442725
416,-218.07954738130547,500,-52.12022030132413
417,-266.35094406466106,500,-53.387154196364115
418,-271.10710150184957,113,-55.09892489958098
419,-311.63265792024634,113,-57.80170733023727
420,-147.5770109075881,159,-57.57612245217603
421,-362.6426471399868,109,-59.416125170827215
422,-192.68668906017103,80,-60.70928860852687
423,-177.7512175479782,98,-63.744074942788814
424,-11.371179629658826,500,-62.278181786428696
